Count	Date	Color	Automaker
3	2000-02-20	Red	Toyota
8	2000-02-20	Red	Mazda
9	2000-02-20	Red	BMW
7	2000-02-20	Red	Audi
8	2000-02-20	Red	Volvo
18	2000-02-20	Blue	Toyota
11	2000-02-20	Blue	Mazda
11	2000-02-20	Blue	BMW
9	2000-02-20	Blue	Audi
8	2000-02-20	Blue	Volvo
63	2000-02-20	Green	Toyota
8	2000-02-20	Green	Mazda
23	2000-02-20	Green	BMW
73	2000-02-20	Green	Audi
30	2000-02-20	Green	Volvo
20	2000-02-20	Black	Toyota
10	2000-02-20	Black	Mazda
20	2000-02-20	Black	BMW
19	2000-02-20	Black	Audi
17	2000-02-20	Black	Volvo
180	2000-02-21	Red	Toyota
615	2000-02-21	Red	Mazda
484	2000-02-21	Red	BMW
80	2000-02-21	Red	Audi
418	2000-02-21	Red	Volvo
346	2000-02-21	Blue	Toyota
12	2000-02-21	Blue	Mazda
239	2000-02-21	Blue	BMW
45	2000-02-21	Blue	Audi
150	2000-02-21	Blue	Volvo
284	2000-02-21	Green	Toyota
260	2000-02-21	Green	Mazda
463	2000-02-21	Green	BMW
429	2000-02-21	Green	Audi
117	2000-02-21	Green	Volvo
230	2000-02-21	Black	Toyota
178	2000-02-21	Black	Mazda
181	2000-02-21	Black	BMW
164	2000-02-21	Black	Audi
32	2000-02-21	Black	Volvo
31	2000-02-22	Red	Toyota
92	2000-02-22	Red	Mazda
40	2000-02-22	Red	BMW
106	2000-02-22	Red	Audi
21	2000-02-22	Red	Volvo
4	2000-02-22	Blue	Toyota
6	2000-02-22	Blue	Mazda
5	2000-02-22	Blue	BMW
2	2000-02-22	Blue	Audi
10	2000-02-22	Blue	Volvo
418	2000-02-22	Green	Toyota
315	2000-02-22	Green	Mazda
357	2000-02-22	Green	BMW
95	2000-02-22	Green	Audi
194	2000-02-22	Green	Volvo
176	2000-02-22	Black	Toyota
293	2000-02-22	Black	Mazda
195	2000-02-22	Black	BMW
24	2000-02-22	Black	Audi
173	2000-02-22	Black	Volvo
1	2000-02-23	Red	Toyota
118	2000-02-23	Red	Mazda
51	2000-02-23	Red	BMW
66	2000-02-23	Red	Audi
116	2000-02-23	Red	Volvo
193	2000-02-23	Blue	Toyota
109	2000-02-23	Blue	Mazda
84	2000-02-23	Blue	BMW
381	2000-02-23	Blue	Audi
325	2000-02-23	Blue	Volvo
202	2000-02-23	Green	Toyota
308	2000-02-23	Green	Mazda
379	2000-02-23	Green	BMW
82	2000-02-23	Green	Audi
142	2000-02-23	Green	Volvo
76	2000-02-23	Black	Toyota
212	2000-02-23	Black	Mazda
86	2000-02-23	Black	BMW
155	2000-02-23	Black	Audi
119	2000-02-23	Black	Volvo
555	2000-02-24	Red	Toyota
422	2000-02-24	Red	Mazda
96	2000-02-24	Red	BMW
144	2000-02-24	Red	Audi
35	2000-02-24	Red	Volvo
360	2000-02-24	Blue	Toyota
137	2000-02-24	Blue	Mazda
326	2000-02-24	Blue	BMW
90	2000-02-24	Blue	Audi
287	2000-02-24	Blue	Volvo
208	2000-02-24	Green	Toyota
105	2000-02-24	Green	Mazda
168	2000-02-24	Green	BMW
32	2000-02-24	Green	Audi
287	2000-02-24	Green	Volvo
328	2000-02-24	Black	Toyota
426	2000-02-24	Black	Mazda
203	2000-02-24	Black	BMW
387	2000-02-24	Black	Audi
273	2000-02-24	Black	Volvo
2	2000-02-25	Red	Toyota
1	2000-02-25	Blue	Volvo
1	2000-02-25	Green	Toyota
1	2000-02-25	Green	BMW
1	2000-02-25	Green	Volvo
1	2000-02-25	Black	Audi
2	2000-02-25	Black	Volvo
73	2000-02-26	Red	Toyota
29	2000-02-26	Red	Mazda
30	2000-02-26	Red	BMW
54	2000-02-26	Red	Audi
30	2000-02-26	Red	Volvo
19	2000-02-26	Blue	Toyota
71	2000-02-26	Blue	Mazda
78	2000-02-26	Blue	BMW
77	2000-02-26	Blue	Audi
10	2000-02-26	Blue	Volvo
49	2000-02-26	Green	Toyota
73	2000-02-26	Green	Mazda
57	2000-02-26	Green	BMW
1	2000-02-26	Green	Audi
58	2000-02-26	Green	Volvo
100	2000-02-26	Black	Toyota
74	2000-02-26	Black	Mazda
10	2000-02-26	Black	BMW
19	2000-02-26	Black	Audi
9	2000-02-26	Black	Volvo
195	2000-02-27	Red	Toyota
95	2000-02-27	Red	Mazda
67	2000-02-27	Red	BMW
75	2000-02-27	Red	Audi
185	2000-02-27	Red	Volvo
75	2000-02-27	Blue	Toyota
257	2000-02-27	Blue	Mazda
140	2000-02-27	Blue	BMW
167	2000-02-27	Blue	Audi
36	2000-02-27	Blue	Volvo
44	2000-02-27	Green	Toyota
111	2000-02-27	Green	Mazda
34	2000-02-27	Green	BMW
15	2000-02-27	Green	Audi
97	2000-02-27	Green	Volvo
445	2000-02-27	Black	Toyota
349	2000-02-27	Black	Mazda
361	2000-02-27	Black	BMW
528	2000-02-27	Black	Audi
54	2000-02-27	Black	Volvo
322	2000-02-28	Red	Toyota
567	2000-02-28	Red	Mazda
311	2000-02-28	Red	BMW
318	2000-02-28	Red	Audi
86	2000-02-28	Red	Volvo
69	2000-02-28	Blue	Toyota
111	2000-02-28	Blue	Mazda
40	2000-02-28	Blue	BMW
112	2000-02-28	Blue	Audi
188	2000-02-28	Blue	Volvo
66	2000-02-28	Green	Toyota
52	2000-02-28	Green	Mazda
52	2000-02-28	Green	BMW
356	2000-02-28	Green	Audi
12	2000-02-28	Green	Volvo
223	2000-02-28	Black	Toyota
179	2000-02-28	Black	Mazda
128	2000-02-28	Black	BMW
6	2000-02-28	Black	Audi
136	2000-02-28	Black	Volvo
8	2000-02-29	Red	Toyota
5	2000-02-29	Red	Mazda
8	2000-02-29	Red	BMW
5	2000-02-29	Red	Volvo
116	2000-02-29	Blue	Toyota
68	2000-02-29	Blue	Mazda
1	2000-02-29	Blue	BMW
130	2000-02-29	Blue	Audi
109	2000-02-29	Blue	Volvo
38	2000-02-29	Green	Toyota
162	2000-02-29	Green	Mazda
165	2000-02-29	Green	BMW
134	2000-02-29	Green	Audi
113	2000-02-29	Green	Volvo
98	2000-02-29	Black	Toyota
32	2000-02-29	Black	Mazda
137	2000-02-29	Black	BMW
130	2000-02-29	Black	Audi
34	2000-02-29	Black	Volvo
