Count	Date	Color	Automaker
13	2000-11-30	Red	Toyota
5	2000-11-30	Red	Mazda
17	2000-11-30	Red	BMW
23	2000-11-30	Red	Audi
14	2000-11-30	Red	Volvo
297	2000-11-30	Blue	Toyota
420	2000-11-30	Blue	Mazda
169	2000-11-30	Blue	BMW
341	2000-11-30	Blue	Audi
128	2000-11-30	Blue	Volvo
14	2000-11-30	Green	Toyota
22	2000-11-30	Green	BMW
19	2000-11-30	Green	Audi
5	2000-11-30	Green	Volvo
192	2000-11-30	Black	Toyota
326	2000-11-30	Black	Mazda
370	2000-11-30	Black	BMW
225	2000-11-30	Black	Audi
384	2000-11-30	Black	Volvo
13	2000-12-01	Red	Toyota
94	2000-12-01	Red	Mazda
205	2000-12-01	Red	BMW
130	2000-12-01	Red	Audi
181	2000-12-01	Red	Volvo
56	2000-12-01	Blue	Toyota
102	2000-12-01	Blue	Mazda
122	2000-12-01	Blue	BMW
115	2000-12-01	Blue	Audi
42	2000-12-01	Blue	Volvo
178	2000-12-01	Green	Toyota
388	2000-12-01	Green	Mazda
491	2000-12-01	Green	BMW
215	2000-12-01	Green	Audi
239	2000-12-01	Green	Volvo
89	2000-12-01	Black	Toyota
346	2000-12-01	Black	Mazda
456	2000-12-01	Black	BMW
599	2000-12-01	Black	Audi
58	2000-12-01	Black	Volvo
141	2000-12-02	Red	Toyota
154	2000-12-02	Red	Mazda
123	2000-12-02	Red	BMW
283	2000-12-02	Red	Audi
206	2000-12-02	Red	Volvo
77	2000-12-02	Blue	Toyota
89	2000-12-02	Blue	Mazda
46	2000-12-02	Blue	BMW
93	2000-12-02	Blue	Audi
1	2000-12-02	Blue	Volvo
77	2000-12-02	Green	Toyota
21	2000-12-02	Green	Mazda
30	2000-12-02	Green	BMW
96	2000-12-02	Green	Audi
96	2000-12-02	Green	Volvo
476	2000-12-02	Black	Toyota
90	2000-12-02	Black	Mazda
206	2000-12-02	Black	BMW
241	2000-12-02	Black	Audi
392	2000-12-02	Black	Volvo
11	2000-12-03	Red	Toyota
794	2000-12-03	Red	Mazda
90	2000-12-03	Red	BMW
88	2000-12-03	Red	Audi
